t_sec,VehSpd_kph,YawRate_dps,SteerAngle_deg,TargetRange_m,LeadRelVel_mps,MockAccelCmd,MockBrakeCmd
0.0,72.0,0.0,0.0,54.0,0.4,0.072,0.0
0.05,72.087,0.064,0.281,54.087,0.4,0.075,0.0
0.1,72.175,0.128,0.562,54.173,0.399,0.077,0.0
0.15,72.262,0.192,0.843,54.26,0.399,0.08,0.0
0.2,72.35,0.256,1.124,54.346,0.398,0.083,0.0
0.25,72.437,0.319,1.405,54.433,0.397,0.085,0.0
0.3,72.525,0.383,1.685,54.519,0.395,0.088,0.0
0.35,72.612,0.447,1.965,54.605,0.393,0.091,0.0
0.4,72.699,0.51,2.244,54.692,0.391,0.094,0.0
0.45,72.786,0.573,2.523,54.778,0.389,0.097,0.0
0.5,72.873,0.636,2.801,54.864,0.386,0.1,0.0
0.55,72.959,0.698,3.079,54.95,0.383,0.103,0.0
0.6,73.046,0.761,3.355,55.036,0.38,0.105,0.0
0.65,73.133,0.823,3.631,55.122,0.377,0.108,0.0
0.7,73.219,0.884,3.906,55.208,0.373,0.111,0.0
0.75,73.305,0.946,4.18,55.294,0.369,0.115,0.0
0.8,73.391,1.007,4.453,55.379,0.365,0.118,0.0
0.85,73.476,1.067,4.725,55.465,0.36,0.121,0.0
0.9,73.562,1.127,4.996,55.55,0.355,0.124,0.0
0.95,73.647,1.187,5.266,55.635,0.35,0.127,0.0
1.0,73.732,1.246,5.534,55.72,0.345,0.13,0.0
1.05,73.816,1.305,5.801,55.805,0.339,0.133,0.0
1.1,73.901,1.363,6.066,55.89,0.333,0.137,0.0
1.15,73.985,1.421,6.33,55.974,0.327,0.14,0.0
1.2,74.069,1.478,6.593,56.059,0.321,0.143,0.0
1.25,74.152,1.534,6.854,56.143,0.314,0.147,0.0
1.3,74.235,1.59,7.113,56.227,0.307,0.15,0.0
1.35,74.318,1.645,7.37,56.31,0.3,0.153,0.0
1.4,74.4,1.7,7.626,56.394,0.293,0.157,0.0
1.45,74.482,1.754,7.88,56.477,0.285,0.16,0.0
1.5,74.564,1.807,8.132,56.56,0.277,0.164,0.0
1.55,74.645,1.859,8.382,56.643,0.269,0.167,0.0
1.6,74.726,1.911,8.63,56.726,0.26,0.171,0.0
1.65,74.806,1.962,8.875,56.808,0.252,0.174,0.0
1.7,74.886,2.012,9.119,56.89,0.243,0.178,0.0
1.75,74.966,2.061,9.36,56.972,0.233,0.181,0.0
1.8,75.045,2.11,9.599,57.054,0.224,0.185,0.0
1.85,75.123,2.158,9.836,57.135,0.214,0.188,0.0
1.9,75.201,2.205,10.071,57.216,0.204,0.192,0.0
1.95,75.279,2.25,10.302,57.296,0.194,0.196,0.0
2.0,75.356,2.296,10.532,57.377,0.183,0.199,0.0
2.05,75.433,2.34,10.759,57.457,0.173,0.203,0.0
2.1,75.508,2.383,10.983,57.537,0.162,0.207,0.0
2.15,75.584,2.425,11.204,57.616,0.151,0.21,0.0
2.2,75.659,2.466,11.423,57.695,0.139,0.214,0.0
2.25,75.733,2.507,11.639,57.774,0.128,0.218,0.0
2.3,75.807,2.546,11.852,57.852,0.116,0.222,0.0
2.35,75.88,2.584,12.062,57.93,0.104,0.225,0.0
2.4,75.952,2.621,12.269,58.008,0.091,0.229,0.0
2.45,76.024,2.658,12.474,58.085,0.079,0.233,0.0
2.5,76.096,2.693,12.675,58.162,0.066,0.237,0.0
